"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"2170",37840,"$200,000 or more",0,6295,20,6295,20,4045,0,0,0,0,0,0,0,0,0,0,0,20,5508,0,0,20,1068,0,0,0,0
"2171",37841,"Total",2630,129010,3340,131159,2830,99556,110,220,531,30,96,310,628,310,491,360,1233,2220,72191,650,796,3180,18481,430,1418,2780,8030
"2172",37841,"$1 under $25,000",1030,20173,1610,20553,1280,15708,0,120,282,0,0,30,26,30,33,30,60,550,2968,80,25,1480,4074,120,137,1400,3534
"2173",37841,"$25,000 under $50,000",720,30511,850,30879,750,25228,50,60,164,0,0,60,83,50,78,70,190,790,13496,250,230,830,3740,100,200,730,2351
"2174",37841,"$50,000 under $75,000",480,29557,480,29934,440,24090,30,40,85,30,96,90,147,80,98,100,273,480,18086,190,323,480,3203,90,210,390,1128
"2175",37841,"$75,000 under $100,000",190,17010,200,17201,180,13211,0,0,0,0,0,40,85,50,79,50,181,200,12060,80,132,200,2017,40,185,150,479
"2176",37841,"$100,000 under $200,000",180,19700,160,20088,150,15641,30,0,0,0,0,70,187,70,113,80,332,160,14914,50,86,150,2751,50,265,110,538
"2177",37841,"$200,000 or more",30,12059,40,12504,30,5678,0,0,0,0,0,20,100,30,90,30,197,40,10667,0,0,40,2696,30,421,0,0
"2178",37843,"Total",880,61964,1540,62682,1260,46842,150,100,235,0,0,150,275,140,239,170,587,1090,36280,230,262,1450,8745,180,438,1290,3612
"2179",37843,"$1 under $25,000",330,8655,680,8824,520,6419,50,40,119,0,0,0,0,0,0,0,0,250,1422,20,9,620,1609,50,45,590,1350
